GEOID,name,population,groupQuarters_population,pop_below_fpl,pop_above_fpl
41051001102,"Census Tract 11.02, Multnomah County, Oregon",1640,14,256,1370
41051001201,"Census Tract 12.01, Multnomah County, Oregon",5131,88,875,4202
41051001202,"Census Tract 12.02, Multnomah County, Oregon",3521,7,225,3237
41051001301,"Census Tract 13.01, Multnomah County, Oregon",3950,128,491,3328
41051001302,"Census Tract 13.02, Multnomah County, Oregon",3240,46,142,3057
41051001400,"Census Tract 14, Multnomah County, Oregon",5420,25,529,4824
41051001500,"Census Tract 15, Multnomah County, Oregon",3441,28,233,3184
41051001601,"Census Tract 16.01, Multnomah County, Oregon",5787,447,407,4967
41051001602,"Census Tract 16.02, Multnomah County, Oregon",4589,48,1141,3398
41051001701,"Census Tract 17.01, Multnomah County, Oregon",7438,58,1014,6151
41051001702,"Census Tract 17.02, Multnomah County, Oregon",4463,267,806,3406
41051001801,"Census Tract 18.01, Multnomah County, Oregon",4440,159,647,3631
41051001802,"Census Tract 18.02, Multnomah County, Oregon",3603,45,242,3318
41051001900,"Census Tract 19, Multnomah County, Oregon",4895,58,250,4637
41051002000,"Census Tract 20, Multnomah County, Oregon",6306,140,1195,5060
41051002100,"Census Tract 21, Multnomah County, Oregon",2291,178,479,1778
41051002203,"Census Tract 22.03, Multnomah County, Oregon",3555,136,688,2848
41051002303,"Census Tract 23.03, Multnomah County, Oregon",2209,122,598,1547
41051002401,"Census Tract 24.01, Multnomah County, Oregon",2821,0,111,2710
41051002402,"Census Tract 24.02, Multnomah County, Oregon",3455,40,533,2882
41051002501,"Census Tract 25.01, Multnomah County, Oregon",4699,5,153,4527
41051002502,"Census Tract 25.02, Multnomah County, Oregon",4398,15,384,4005
41051002600,"Census Tract 26, Multnomah County, Oregon",2899,0,133,2766
41051002701,"Census Tract 27.01, Multnomah County, Oregon",3424,0,217,3207
41051002702,"Census Tract 27.02, Multnomah County, Oregon",2951,0,603,2348
41051002801,"Census Tract 28.01, Multnomah County, Oregon",3007,5,224,2782
41051002802,"Census Tract 28.02, Multnomah County, Oregon",3149,0,178,2971
